user_id,category,monthly_limit_inr,month,year
U00001,Food,2537.46,1,2024
U00001,Transport,1627.87,4,2024
U00001,Bills,2879.23,1,2024
U00001,Shopping,1976.82,10,2024
U00001,Entertainment,1272.57,4,2024
U00001,Health,2001.13,11,2024
U00002,Food,4048.95,5,2024
U00002,Transport,1796.66,8,2024
U00002,Bills,1717.47,11,2024
U00002,Shopping,2300.61,3,2024
U00002,Entertainment,1061.31,3,2024
U00002,Health,2021.12,9,2024
U00003,Food,4400.49,9,2024
U00003,Transport,1674.33,1,2024
U00003,Bills,2737.7,10,2024
U00003,Shopping,2004.95,3,2024
U00003,Entertainment,800.38,8,2024
U00003,Health,1486.97,5,2024
U00004,Food,4162.92,7,2024
U00004,Transport,2249.2,11,2024
U00004,Bills,1897.86,9,2024
U00004,Shopping,1993.84,3,2024
U00004,Entertainment,1317.43,10,2024
U00004,Health,1273.43,2,2024
U00005,Food,3230.14,2,2024
U00005,Transport,2072.02,12,2024
U00005,Bills,2379.07,5,2024
U00005,Shopping,2829.59,4,2024
U00005,Entertainment,1227.31,6,2024
U00005,Health,2128.13,6,2024
U00006,Food,3733.86,12,2024
U00006,Transport,1675.35,4,2024
U00006,Bills,2527.19,6,2024
U00006,Shopping,2078.28,8,2024
U00006,Entertainment,1471.29,6,2024
U00006,Health,1216.67,12,2024
U00007,Food,2680.82,1,2024
U00007,Transport,1839.23,1,2024
U00007,Bills,2862.02,11,2024
U00007,Shopping,1842.95,9,2024
U00007,Entertainment,1426.69,12,2024
U00007,Health,1713.43,7,2024
U00008,Food,3530.08,11,2024
U00008,Transport,1883.83,9,2024
U00008,Bills,1643.33,11,2024
U00008,Shopping,2223.25,2,2024
U00008,Entertainment,1047.1,7,2024
U00008,Health,2068.84,6,2024
U00009,Food,3212.18,12,2024
U00009,Transport,2232.99,2,2024
U00009,Bills,2247.77,4,2024
U00009,Shopping,2222.41,4,2024
U00009,Entertainment,1320.2,5,2024
U00009,Health,1914.58,12,2024
U00010,Food,3151.42,2,2024
U00010,Transport,2057.09,11,2024
U00010,Bills,2024.45,12,2024
U00010,Shopping,1909.61,8,2024
U00010,Entertainment,1477.11,1,2024
U00010,Health,1494.79,12,2024
