transaction_id,user_id,description,amount_inr,category,date,month,year
TXN334053,U00001,Swiggy order,2608.35,Food,2024-05-05,5,2024
TXN191161,U00001,Ola cab,2384.61,Transport,2024-10-06,10,2024
TXN329258,U00001,Theme park,159.65,Entertainment,2024-02-17,2,2024
TXN308496,U00001,Flight booking,2126.96,Transport,2024-10-14,10,2024
TXN717889,U00001,Eye checkup,1497.34,Health,2024-08-17,8,2024
TXN832052,U00001,Electricity bill,2667.89,Bills,2024-03-22,3,2024
TXN900581,U00001,Mall shopping,1008.66,Shopping,2024-04-20,4,2024
TXN476417,U00001,Internet broadband,369.97,Bills,2024-02-19,2,2024
TXN865179,U00001,Cable TV,962.6,Bills,2024-01-23,1,2024
TXN182627,U00001,Household items,480.65,Shopping,2024-07-12,7,2024
TXN479201,U00001,Concert tickets,2911.45,Entertainment,2024-11-12,11,2024
TXN793384,U00001,Gaming purchase,2480.77,Entertainment,2024-01-24,1,2024
TXN205907,U00001,Rapido bike,3449.01,Transport,2024-04-29,4,2024
TXN270555,U00001,Electronics buy,1614.27,Shopping,2024-07-05,7,2024
TXN835911,U00001,DTH recharge,772.8,Bills,2024-05-16,5,2024
TXN660086,U00001,Medicine pharmacy,2151.5,Health,2024-03-28,3,2024
TXN383060,U00001,Doctor consultation,613.74,Health,2024-07-13,7,2024
TXN983794,U00001,Eye checkup,807.67,Health,2024-06-15,6,2024
TXN520651,U00001,Grocery store,2885.22,Food,2024-06-10,6,2024
TXN852787,U00001,Internet broadband,777.89,Bills,2024-10-17,10,2024
TXN774079,U00001,Water bill,2311.26,Bills,2024-07-21,7,2024
TXN881177,U00001,Clothes shopping,963.84,Shopping,2024-05-06,5,2024
TXN549245,U00001,Hotstar subscription,956.46,Entertainment,2024-10-26,10,2024
TXN634277,U00001,Theme park,1298.89,Entertainment,2024-03-11,3,2024
TXN260265,U00001,Flipkart order,2657.45,Shopping,2024-02-26,2,2024
TXN725380,U00001,Gym membership,2782.67,Health,2024-08-04,8,2024
TXN654816,U00001,Bakery snacks,1366.59,Food,2024-08-27,8,2024
TXN813328,U00001,Wifi bill,3019.69,Bills,2024-01-06,1,2024
TXN887352,U00001,Medicine pharmacy,2401.9,Health,2024-10-01,10,2024
TXN265840,U00001,DTH recharge,434.85,Bills,2024-08-10,8,2024
TXN624902,U00001,Amazon purchase,3340.66,Shopping,2024-05-14,5,2024
TXN412942,U00001,Flight booking,3198.57,Transport,2024-11-16,11,2024
TXN492077,U00001,Eye checkup,2150.95,Health,2024-03-19,3,2024
TXN100599,U00001,Flight booking,3339.57,Transport,2024-09-28,9,2024
TXN480612,U00001,Amazon Prime,1735.69,Entertainment,2024-02-27,2,2024
TXN182582,U00001,Water bill,249.84,Bills,2024-10-17,10,2024
TXN903035,U00001,Vegetable market,2865.28,Food,2024-09-29,9,2024
TXN273148,U00001,Metro card recharge,2326.14,Transport,2024-10-08,10,2024
TXN322086,U00001,Wifi bill,3059.89,Bills,2024-08-04,8,2024
TXN804314,U00001,Gaming purchase,2509.67,Entertainment,2024-07-23,7,2024
TXN226882,U00002,Property tax,3153.67,Bills,2024-08-19,8,2024
TXN716886,U00002,Petrol fuel,270.89,Transport,2024-01-11,1,2024
TXN174441,U00002,Gaming purchase,2080.12,Entertainment,2024-01-04,1,2024
TXN446479,U00002,Hospital visit,839.85,Health,2024-01-17,1,2024
TXN608993,U00002,Milk dairy,871.12,Food,2024-12-08,12,2024
TXN704201,U00002,Flight booking,506.48,Transport,2024-10-19,10,2024
TXN299659,U00002,Shoes purchase,2756.94,Shopping,2024-07-27,7,2024
