description,category
shoes footwear purchase 3973,Shopping
electricity bill payment monthly 4524,Bills
insurance premium monthly,Bills
books reading kindle 269,Entertainment
bus ticket pass monthly,Transport
street food pav bhaji,Food
rent apartment monthly,Bills
clothes shopping mall,Shopping
ajio clothing brand,Shopping
street food pav bhaji 3538,Food
dominos pizza online,Food
train ticket irctc booking 4306,Transport
dominos pizza online 4627,Food
book stationery notebook 3932,Shopping
home loan emi,Bills
mess food hostel lunch 598,Food
generator fuel maintenance 4393,Bills
furniture home decor 3281,Shopping
concert event ticket 1682,Entertainment
electricity bseb bescom 1561,Bills
concert event ticket 4860,Entertainment
health checkup annual full body,Health
bowling gaming zone night out 4844,Entertainment
juice bar smoothie 1185,Food
electricity bseb bescom 3723,Bills
youtube premium monthly,Entertainment
hospital doctor visit fee,Health
fuel diesel refill,Transport
bowling gaming zone night out 3938,Entertainment
gas cylinder booking,Bills
internet broadband wifi bill 2643,Bills
health insurance premium 2977,Health
concert event ticket,Entertainment
dinner family meal 3044,Food
bigbasket order home,Food
health checkup annual full body 4762,Health
electric scooter charge 2320,Transport
bus ticket pass monthly 2310,Transport
wedding food catering banquet,Food
metro card recharge daily,Transport
intercity bus redbus ticket 1282,Transport
ola taxi booking trip 569,Transport
hotstar disney subscription,Entertainment
electricity bseb bescom,Bills
vegetable market sabzi,Food
ambulance emergency charge 2966,Health
yoga class session monthly 4814,Health
vehicle service maintenance 2878,Transport
dental checkup teeth cleaning 4955,Health
youtube premium monthly 2797,Entertainment
books reading kindle 283,Entertainment
medicine pharmacy prescription,Health
flight airways ticket,Transport
driver salary monthly 4415,Transport
ayurveda herbal treatment 3826,Health
comedy show standup ticket 4702,Entertainment
cricket match stadium,Entertainment
parking fees monthly 4032,Transport
health checkup annual full body 2355,Health
sports equipment gym gear 4067,Shopping
meesho order fashion 2977,Shopping
vitamin supplement protein powder 3949,Health
theme park amusement ride,Entertainment
flipkart purchase delivery 3007,Shopping
flight airways ticket 4175,Transport
book stationery notebook 4749,Shopping
rapido bike ride,Transport
auto rickshaw local fare 4315,Transport
bakery cake pastry,Food
electronics gadget mobile 4680,Shopping
ice cream parlour dessert 629,Food
